period_ordered,book_id,nikh_period,level,sentence
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"그리고 봉건적 지배
질서의 유지를 고집하는 양반 유생층의 지도 노선으로 인하여 결속이 강화되지 못하였다."
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,"이씨 조선의 개국과 국도 문제
   2\."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,2\.
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,"그 중에서 노비가 가장 천시를 받았는데, 이에는 관청에 속한 공노비와, 귀족들 개인에게 속한
사노비가 있었다."
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,"무오(戊午) [598년]

【신라 진평왕 19년 ○ 고구려 영양왕 8년 ○ 백제 위덕왕 44년 ○ 수 문제 개황 18년 ○ 일황 추고(推古) 6년 ○ 서력 기원
598년】

봄에 고구려(高句麗) 왕이 말갈(靺鞨) 병사를 이끌고 요서(遼西)를 공격하였는데, 수(隋)나라 왕이 노하여 유관(楡關)에 군사를 보냈으나
식량이 떨어져서 돌아갔다."
1. Late Chosŏn / Korean Empire,ta_p22r,Enlightenment & Daehan Empire (1895–1910),Public schools,"금으로 만든
꽃가지 8개를 왕이 친히 강감찬 머리에 꽂아주고, 오른손으로는 술잔을 들고 왼손으로는 강감찬의 손을 잡고 위로와 경탄을 금치 못하였다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,경남 거창 소재.
3. U.S. Military Government,ta_p61r,US Military Govt & Syllabus Period (1945–1954),,"고구려도 임금이 있고 그 밑에 상가(相加), 대로(對盧),
패자(沛者), 고추가(古鄒加) 등 관직을 두었으며, 귀족은 하호와 노비를 많이 사용하였다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,제2차 세계 대전 이후 동⋅서 양 진영 간의 대립과 갈등은 어떠하였는가?
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,"창식이와 큰 언니는 하는 수 없이 복종하였지만,
아버지와 어머니는, 그 대신 내년에는 이 두 사람의 의견을 충분히 참작하겠다고 약속하셨다."
6. Chun / Roh Transitional,ta_m42,4th National Curriculum (1981–1987),Middle School,"군대가 해산될 때, 한국군 시위대 대대장 박승환이 자결하는 것을 계기로 일본군과 시가전을 전개했으며, 원주, 강화, 충주, 진주의 진위대도
일어나 일본군과 항전하였다."
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,고조선 이후에 한반도에는 여러 작은 나라들이 세워지게 되었다.
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"그러나 인조 때에 남한산성(南漢山城)을 쌓을 때에 승려들을 모집하여 노역을 돕게 하였으며, 또한 성 안에 사원을 짓고
그곳을 승려들의 진영으로 삼아, 팔도의 승군들을 모집하여 성을 지키는 일을 담당하게 하였다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,3\.
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"반면에, 일본으로부터는 은, 구리, 황, 후추 등을
수입하였다."
4. Post-war Authoritarian,ta_e21,2nd National Curriculum (1963–1973),Elementary,8\.
5. Yushin,ta_e31,3rd National Curriculum (1973–1981),Elementary,"보부상  

18세기에 들어와 상인들의 세력이 커지자, 개성, 대구, 강경, 안성, 의주 등지에서는 돈이 많은 상인들이 큰 장사를 하는 한편으로,
여관업, 금융업, 소개업 등까지 겸하게 되어 양반 이상의 넉넉한 생활을 하였다."
7. Early Democratic,ta_m62,6th National Curriculum (1995–2001),Middle School,여기서는 조선말을 쓰면 한 끼의 밥을 줄여 버렸다.
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"이후 조선은 명과 친선 관계를 유지하였고, 사신을 자주 파견하였다."
1. Late Chosŏn / Korean Empire,ta_p23r,Enlightenment & Daehan Empire (1895–1910),Public schools,"1결(結)에 12말[斗]을 거두어 서울과 지방의 수용에
공급하고 그 밖의 요역(繇役)은 없애니, 백성들이 매우 편하게 여겼다."
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,남북 분단과 민족 분열의 역사적 배경과 근본 원인은 무엇인가?
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,"참성단(강화)  

동욱이는 우리 나라 역사가 깊고, 최초의 국가인 고조선을 세운 단군 왕검이 하느님의 자손이라는 사실이 무척 자랑스럽게 느껴졌다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"서울 근교에서는 채소 재배가 성하였고, 그 밖에 피마자, 면화, 약재, 고추, 호박, 과실
등도 인기 있는 상업 작물로 등장하였다."
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"그 뒤 시칠리아⋅나폴리 등의 지역도 가리발디의 활약으로 통합되어,
1861년에 에마누엘레 2세는 이탈리아 왕으로 즉위하였다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"그렇지만 아무런 죄가
없는 인민을 살육하거나 재물을 약탈하는 행위는 본래의 뜻에서 나온 것이 아니었음은 물론이고 맨 처음 출병할 때 장수들에게 명하여 확실히
그러한 행위를 금지하였다."
5. Yushin,ta_e32,3rd National Curriculum (1973–1981),Elementary,"〈흥선 대원군〉

안으로 정치가 혼란하고, 밖으로 서양 배에 의한 소란이 거듭되는 어려운 때에 정권을 잡은 사람이 흥선 대원군이다."
1. Late Chosŏn / Korean Empire,ta_p11r,Enlightenment & Daehan Empire (1895–1910),Public schools,"먼저 태어난 자를 추대하여 왕으로 삼아 수로(首露)라 하고, 태어날 때 금합(金盒)에서 나왔다 하여 성(姓)을 김(金)으로 하고 국호를
대가락(大駕洛)이라 하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"이들은 주술적 의미를
가진 것으로, 어떤 의식을 행하는 데 사용된 것으로 보인다."
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"(1) 근대 문명의 수용

과학 기술의 수용

서양의 과학 기술에 대한 관심은, 17세기 이후 실학자들에 의하여 싹트기 시작하였다."
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,"(7) 김해에 있는 조개묻이의 이야기를 자세히 알기 위하여, 그 곳 중학교 일학년 학생에게 펀지를 쓰자."
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,"그 때는 경성(鏡城)과 경원(慶源)에 자리를 정하고, 옷감, 농사
기구, 종이, 쌀, 콩, 간장 같은 것을 그들의 짐승 가죽과 바꾸어주기도 하였다."
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"그러자, 일본은 군대를 출동시켜 경복궁을 포위하고 대원군을 앞세워 민씨 세력을 몰아 내고, 김홍집
등의 개화파로 새 정부를 조직하여, 그들로 하여금 정치, 경제, 사회 등 여러 부문에 걸친 개혁을 단행하게 하였다."
6. Chun / Roh Transitional,ta_e42,4th National Curriculum (1981–1987),Elementary,"제헌 국회 개원식  

이 헌법에 의하여 국회에서 이승만을 초대 대통령으로 선출하고, 곧 이어 8월 15일에는 대한 민국 정부를 수립하여 우리 나라가 독립 국가임을
국내외에 널리 알렸다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"이들은, 조선 초기 이후 여러 학자들의
노력으로 발전하기 시작한 조선 성리학을 한층 더 연구하여, 성리학의 새로운 세계를 열어 놓았다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,"이 두 나라는 일찍부터 벼농사가 행하여져,
저수지도 만들어 이용하였다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,4\.
3. U.S. Military Government,ta_p51r,US Military Govt & Syllabus Period (1945–1954),,"(고종
19년) 이와 같이 최우가 강화도로 천도한 것은 끝까지 몽고와 항전하겠다는 결의에서 나온 것이다."
1. Late Chosŏn / Korean Empire,ta_p111r,Enlightenment & Daehan Empire (1895–1910),,"이날 밤,
왕(인조)께서 직접 군사들을 이끄신 후 연서역(延曙驛)에 도착하여 이서를 맞이하셨다."
7. Early Democratic,ta_m62,6th National Curriculum (1995–2001),Middle School,"2⋅8 독립 선언서  

한편, 국내에서도 민족 지도자들이 세계 정세의 변화에 관심을 가지면서 학생 단체와 연결하여 거족적인 독립 운동을 준비하고 있었다."
1. Late Chosŏn / Korean Empire,ta_p21r,Enlightenment & Daehan Empire (1895–1910),Public schools,열어 보니 작은 아이가 있었다.
3. U.S. Military Government,ta_p61r,US Military Govt & Syllabus Period (1945–1954),,"【○ 후기 승려로서 학문에 비교적 드러난 사람으로 각성·최눌·유일·혜장·의순 등이 있으며 채영은 『불조원류』를 짓고 각안은 『동사열전』을
지어 승사(僧史) 연구에 도움이 된다.】

[익힘]

1\."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"이러한 상황에서, 우리 나라 농민들은 외국의 경제적 침략에 반감을 품게 되었으며, 적절한 정책을 세워 이를 타개하지 못하는 정부와 부패한
관리들에 대해서도 불만을 가지게 되었다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"이어서, 병장도설이 편찬되어 군사 훈련의 지침으로 사용하게 되었을 뿐 아니라, 화포를 제작, 사용하는 방법도 개발되었고, 동국병감이 편찬되어
전쟁사가 체계적으로 정리되었다."
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,삼별초는 원래 도적을 지키기 위하여 만든 특별 부대와 몽고군에 잡혀 갔다가 탈출한 병사들을 합쳐 만든 부대였다.
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"그리고, 종로
광장에서 최초의 민중 대회라고 할 만민 공동회를 개최하여, 정부의 외세 의존적인 정치⋅군사⋅경제 정책을 규탄하고, 헌의 6조(獻議六條)를
결의하여 국정의 자주 노선을 요구하였다."
8. Democratic Consolidation,ta_e71,7th National Curriculum (2002–),Elementary,"헤이그 특사  

시일야방성대곡(이 날에 목놓아 통곡하노라)

“오!"
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,성준이는 이 때 우리 조상들은 어떻게 했는지 궁금하였다.
1. Late Chosŏn / Korean Empire,ta_p82r,Enlightenment & Daehan Empire (1895–1910),,정주학은 조선(朝鮮)에 이르러 더욱 융성하였다.
5. Yushin,ta_e31,3rd National Curriculum (1973–1981),Elementary,4\.
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,문왕 때에는 당과 친선 관계를 맺고 당의 발달된 문물 제도를 받아들여 많은 업적을 남겼다.
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"한때 무력으로 조선의 문호를 개방시키려다 실패한
미국은, 조선이 일본과 조약을 맺자, 다시 조선과의 수교에 관심을 가지고 일본에 알선을 요청하였으나 이루어지지 않았다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"공음전은 대체로 5품 이상의 관리에게 일정한 토지를 주어 이를 자손에게 세습하도록 하였는데,
이는 음서제와 더불어 귀족의 신분을 뒷받침해 주었다."
1. Late Chosŏn / Korean Empire,ta_p81r,Enlightenment & Daehan Empire (1895–1910),,"의종(毅宗)이 이영에게
내각의 그림 그리는 일을 주관하게 하였고, 이영의 아들 이광필(李光弼)이 또한 뛰어난 그림 솜씨로 명종(明宗)의 총애를 받았다."
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"게르만족들은 가는 곳마다 교회를
세우고 정치적인 불안을 신앙으로 달래었다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"화백이란, 한 집단 안에서 회의할 때에 한 사람의 반대자도 없이 모든 사람이 찬성을 해야 결정하는 만장 일치의 제도였다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"중앙군은 시험에 의해서 선발된 정예 부대, 왕족과 공신의 자제, 또는 고급 관료의 자제들로 구성된 고급 군인들로서, 비교적 높은 품계와
녹봉을 받았다."
1. Late Chosŏn / Korean Empire,ta_p13r,Enlightenment & Daehan Empire (1895–1910),Public schools,5월에 태상왕(太上王)이 【태조 대왕(太祖大王)이다.】 승하하였다.
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,더구나 이 시기에는 그들의 지적 욕구를 채워 줄 한글 소설이 널리 보급되고 있었다.
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"일한의정서(日韓議定書)

이 전쟁이 시작되자 그때까지 러시아를 과신(過信)하였던 한국 정부는 갑자기 태도를 바꾸어 그들과 갈라서고 오랫동안 일본과 친교를 유지하여
일본국 정부의 충언에 따라 국정의 개선을 도모하는 등의 맹약을 체결하였다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"대세가 기울어
항복하는 쪽으로 굳어지자, 최명길이 작성한 항복 문서를 찢고 통곡하였다."
